INSTITUSJONSNR_FRA,AVDNR_FRA,UNDAVDNR_FRA,GRUPPENR_FRA,INSTITUSJONSNR_TIL,AVDNR_TIL,UNDAVDNR_TIL,GRUPPENR_TIL,INSTITUSJONSNAVN_BOKMAL
7548,14,0,0,7548,30,0,0,
1916,1,25,0,1924,11,0,0,
1916,1,25,1,1924,11,0,0,
1916,1,0,0,1924,14,0,0,
1916,1,10,0,1924,14,0,0,
1916,1,11,0,1924,14,0,0,
1916,1,14,0,1924,14,0,0,
1916,1,21,0,1924,14,0,0,
1916,1,22,0,1924,14,0,0,
1916,2,0,0,1924,13,0,0,
1916,2,19,0,1924,13,0,0,
1916,3,0,0,1924,12,0,0,
1916,3,30,0,1924,12,0,0,
1916,3,36,0,1924,12,0,0,
1916,3,39,0,1924,12,0,0,
1916,3,42,0,1924,19,0,0,
1916,3,43,0,1924,19,0,0,
1916,3,45,0,1924,19,0,0,
1916,3,52,0,1924,19,0,0,
1916,3,59,0,1924,19,0,0,
1916,4,0,0,1924,18,0,0,
1916,4,44,0,1924,18,0,0,
1916,4,75,0,1924,18,0,0,
1916,6,0,0,1924,20,0,0,
1916,8,89,0,1924,13,0,0,
1916,8,0,0,1924,79,0,0,
1916,8,80,0,1924,14,0,0,
1916,8,81,0,1924,14,0,0,
1916,8,82,0,1924,17,0,0,
1916,8,83,0,1924,17,0,0,
1916,8,84,0,1924,17,0,0,
1916,9,0,0,1924,0,0,0,
1916,9,1,0,1924,0,0,0,
1916,9,2,0,1924,0,0,0,
1916,9,3,0,1924,0,0,0,
1916,9,6,0,1924,0,0,0,
1917,1,0,0,1924,59,0,0,
1917,2,0,0,1924,12,0,0,
1917,3,0,0,1924,69,0,0,
1917,5,0,0,1924,0,0,0,
6055,0,0,0,2031,2,0,0,
2012,4,10,10,2012,4,10,0,
2012,4,10,20,2012,4,10,0,
2012,4,10,70,2012,4,10,0,
2012,4,20,10,2012,4,20,0,
2012,4,20,20,2012,4,20,0,
2012,4,20,30,2012,4,20,0,
2012,4,20,40,2012,4,20,0,
2012,4,20,50,2012,4,20,0,
2012,4,20,70,2012,4,20,0,
2012,4,20,72,2012,4,20,0,
2012,4,20,74,2012,4,20,0,
2012,4,20,76,2012,4,20,0,
2012,4,20,78,2012,4,20,0,
2012,4,20,80,2012,4,20,0,
2012,4,30,0,2012,4,40,0,
2012,4,30,10,2012,4,40,0,
2012,4,30,20,2012,4,40,0,
2012,4,30,30,2012,4,40,0,
2012,4,40,10,2012,4,40,0,
2012,4,40,11,2012,4,40,0,
2012,4,40,20,2012,4,40,0,
2012,4,40,30,2012,4,40,0,
2012,4,40,40,2012,4,40,0,
2012,4,40,70,2012,4,40,0,
2012,4,40,72,2012,4,40,0,
2012,4,40,80,2012,4,40,0,
2012,4,50,10,2012,4,50,0,
2012,4,50,11,2012,4,50,0,
2012,4,50,20,2012,4,50,0,
2012,4,50,21,2012,4,50,0,
2012,4,50,30,2012,4,50,0,
2012,4,50,90,2012,4,50,0,
2012,4,60,10,2012,4,60,0,
2012,4,60,20,2012,4,60,0,
2012,4,60,30,2012,4,60,0,
2012,4,60,40,2012,4,60,0,
2012,4,60,50,2012,4,60,0,
2012,4,60,70,2012,4,65,20,
2012,4,60,80,2012,4,60,0,
2012,4,70,10,2012,4,70,0,
2012,4,70,20,2012,4,70,0,
2012,4,90,70,2012,4,80,10,
2012,4,90,80,2012,4,65,10,
2012,4,90,82,2012,4,90,0,
2012,4,90,84,2012,4,90,0,
2012,4,90,10,2012,4,65,30,
2012,4,90,90,2012,4,90,0,
1916,0,0,0,1924,0,0,0,
1917,0,0,0,1924,0,0,0,
223,1,1,0,223,1,0,0,
223,1,2,0,223,1,0,0,
223,1,3,0,223,1,0,0,
223,1,4,1,223,1,0,0,
223,1,4,0,223,1,0,0,
223,1,5,0,223,1,0,0,
223,1,6,0,223,1,0,0,
223,1,7,0,223,1,0,0,
223,1,8,0,223,1,0,0,
223,1,9,0,223,1,0,0,
223,1,10,0,223,1,0,0,
223,2,1,0,223,15,10,0,
223,3,3,0,223,18,20,0,
223,12,1,0,223,12,0,0,
223,15,1,0,223,15,0,0,
223,16,1,0,223,16,0,0,
223,16,10,0,223,16,0,0,
223,16,20,0,223,16,0,0,
223,16,30,0,223,16,0,0,
223,16,40,0,223,16,0,0,
223,16,60,0,223,16,0,0,
223,18,1,0,223,18,0,0,
223,18,3,0,223,18,0,0,
223,18,5,0,223,18,0,0,
223,18,7,0,223,18,0,0,
223,18,10,0,223,18,0,0,
223,18,20,1,223,18,20,0,
223,18,40,1,223,18,40,0,
223,18,40,2,223,18,40,0,
223,19,1,0,223,19,0,0,
223,20,0,0,223,1,0,0,
223,20,1,0,7443,10,0,0,
223,4,0,0,223,16,0,0,
223,3,0,0,223,18,0,0,
223,15,50,0,223,15,30,0,
223,18,10,1,223,18,10,0,
223,18,20,2,223,18,20,0,
223,18,20,3,223,18,20,0,
1627,10,0,0,1627,1,50,0,
1627,20,0,0,1627,1,20,0,
1627,30,0,0,1627,1,30,0,
1627,40,0,0,1627,1,40,0,
1627,50,0,0,1627,1,50,0,
1936,0,13,50,1936,0,1,99,
7530,44,0,0,7530,0,0,0,
1519,1,0,0,1655,1,0,0,
1519,2,0,0,1655,2,0,0,
1519,3,0,0,1655,3,0,0,
1519,4,0,0,1655,4,0,0,
1519,5,0,0,1655,5,0,0,
1519,0,0,0,1655,0,0,0,
215,2,6,0,215,4,1,0,
1902,16,0,0,1902,61,0,0,
1902,14,0,0,1902,61,0,0,
7464,30,11,0,7464,30,19,0,
7464,30,13,0,7464,30,19,0,
184,13,16,20,1937,2,0,0,
184,13,17,20,1937,2,0,0,
184,13,43,3,1937,2,0,0,
7492,2,1,0,7492,8,0,0,
7492,4,0,0,7492,2,0,0,
7492,4,1,0,7492,2,7,0,
7492,4,2,0,7492,2,0,0,
7492,4,3,0,7492,2,0,0,
7492,4,4,0,7492,2,5,0,
7492,4,5,0,7492,2,6,0,
7492,6,6,0,7492,6,0,0,
14407503,0,0,0,14407429,0,0,0,
13907421,0,0,0,13907455,0,0,0,
13907026,0,0,0,13907029,0,0,0,
71500154,0,0,0,71501206,0,0,0,
13900151,0,0,0,13900331,0,0,0,
13900303,0,0,0,13900331,0,0,0,
11700392,0,0,0,11700581,0,0,0,
6150,0,0,0,7062,0,0,0,
5965,0,0,0,5987,0,0,0,
11200252,0,0,0,11200268,0,0,0,
11200133,0,0,0,11200268,0,0,0,
11200129,0,0,0,11200268,0,0,0,
11200130,0,0,0,11200268,0,0,0,
11200131,0,0,0,11200268,0,0,0,
11200132,0,0,0,11200268,0,0,0,
11200005,0,0,0,11200269,0,0,0,
11200017,0,0,0,11200269,0,0,0,
11200256,0,0,0,11200269,0,0,0,
11200010,0,0,0,11200266,0,0,0,
11200004,0,0,0,11200266,0,0,0,
13900262,0,0,0,13900088,0,0,0,
10305902,0,0,0,10307418,0,0,0,
10307405,0,0,0,10307418,0,0,0,
10307406,0,0,0,10307418,0,0,0,
35900060,0,0,0,35900094,0,0,0,
35900061,0,0,0,35900094,0,0,0,
35900062,0,0,0,35900094,0,0,0,
11700569,0,0,0,11700330,0,0,0,
11200009,0,0,0,11200267,0,0,0,
11200016,0,0,0,11200267,0,0,0,
7647,0,0,0,7401,0,0,0,
7648,0,0,0,7401,0,0,0,
7649,0,0,0,7401,0,0,0,
48400735,0,0,0,43200093,0,0,0,
11700455,0,0,0,11700567,0,0,0,
11700467,0,0,0,11700567,0,0,0,
7580,0,0,0,7563,0,0,0,
65200794,0,0,0,76000051,0,0,0,
