Institusjonskode;Fakultetskode;Avdelingskode;NVA_INSTITUTION;NVA_ID;Match
1260;;;150;150.0.0.0;top_level
1260;320;320000;150;150.30.0.0;
1260;310;310000;150;150.31.0.0;
1260;340;340000;150;150.34.0.0;
1260;350;350000;150;150.35.0.0;
1260;120;120200;150;150.4.0.0;
1260;120;120000;150;150.4.1.0;
8225;;;1525;1525.0.0.0;top_level
8225;;;1525;1525.1.0.0;
8225;;;1525;1525.10.0.0;
8225;;;1525;1525.6.0.0;
8225;;;1525;1525.8.0.0;
8225;;;1525;1525.9.0.0;
8227;;;1526;1526.0.0.0;top_level
8241;;;158;158.0.0.0;top_level
8241;310;310000;158;158.1.0.0;
8241;390;390000;158;158.11.0.0;
8241;320;320000;158;158.12.0.0;
8241;400;400000;158;158.13.0.0;
8241;430;430000;158;158.15.0.0;
8241;410;410000;158;158.20.0.0;
8241;;;158;158.21.0.0;
8241;330;330000;158;158.3.0.0;
8241;340;340000;158;158.4.0.0;
8241;360;360000;158;158.7.0.0;
8241;370;370000;158;158.8.0.0;
8241;380;380000;158;158.9.0.0;
8253;;;1615;1615.0.0.0;top_level
8253;310;310000;1615;1615.10.0.0;
8253;320;320000;1615;1615.20.0.0;
8253;320;320100;1615;1615.20.10.0;
8253;320;320200;1615;1615.20.20.0;
8253;320;320300;1615;1615.20.30.0;
8253;320;320400;1615;1615.20.98.0;
8253;330;330000;1615;1615.30.0.0;
8253;330;330100;1615;1615.30.10.0;
8253;330;330200;1615;1615.30.20.0;
8253;330;330300;1615;1615.30.30.0;
8253;340;340000;1615;1615.40.0.0;
8253;340;340100;1615;1615.40.10.0;
8253;340;340300;1615;1615.40.30.0;
8253;350;350000;1615;1615.50.0.0;
1407;;;1620;1620.0.0.0;top_level
8247;;;1622;1622.0.0.0;
8248;;;1624;1624.0.0.0;
1303;;;1627;1627.0.0.0;top_level
1303;240;240000;1627;1627.2.0.0;
1303;230;230000;1627;1627.3.0.0;
1303;220;220000;1627;1627.4.0.0;
1303;250;250000;1627;1627.5.0.0;
1303;210;210000;1627;1627.7.0.0;
1303;210;210000;1627;1627.8.0.0;
1303;210;210000;1627;1627.9.0.0;
1302;;;1661;1661.0.0.0;
1210;;;178;178.0.0.0;top_level
1210;120;120000;178;178.2.0.0;
1210;120;120000;178;178.2.30.0;
1210;120;120000;178;178.2.31.0;
1210;120;120000;178;178.2.32.0;
1210;120;120000;178;178.2.33.0;
1210;120;120000;178;178.2.34.0;
1210;120;120310;178;178.2.40.0;
1210;;;178;178.3.0.0;
1210;;;178;178.3.1.0;
1210;;;178;178.3.2.0;
1210;;;178;178.3.3.0;
1210;;;178;178.3.4.0;
1210;;;178;178.3.5.0;
1210;;;178;178.3.6.0;
1210;;;178;178.3.7.0;
1210;;;178;178.3.8.0;
1210;;;178;178.4.0.0;
1210;;;178;178.4.1.0;
1210;;;178;178.4.2.0;
1210;;;178;178.4.3.0;
1120;;;184;184.0.0.0;top_level
1120;220;220000;184;184.11.0.0;
1120;220;220100;184;184.11.1.0;
1120;220;220100;184;184.11.1.10;
1120;360;360380;184;184.11.1.11;
1120;220;220440;184;184.11.20.0;
1120;220;220430;184;184.11.21.0;
1120;220;220420;184;184.11.22.0;
1120;220;220450;184;184.11.62.0;
1120;220;220890;184;184.11.74.0;
1120;220;220910;184;184.11.75.0;
1120;220;220945;184;184.11.82.0;
1120;260;260000;184;184.12.0.0;
1120;260;260000;184;184.12.0.4;
1120;260;260000;184;184.12.0.5;
1120;260;260100;184;184.12.1.10;
1120;260;260210;184;184.12.11.0;
1120;260;260220;184;184.12.12.0;
1120;260;260220;184;184.12.12.12;
1120;260;260250;184;184.12.24.0;
1120;260;260260;184;184.12.31.0;
1120;260;260260;184;184.12.31.30;
1120;260;260330;184;184.12.32.0;
1120;260;260470;184;184.12.44.0;
1120;260;260420;184;184.12.50.0;
1120;260;260600;184;184.12.60.0;
1120;260;260350;184;184.12.70.0;
1120;260;260895;184;184.12.80.0;
1120;260;260875;184;184.12.90.0;
1120;260;260870;184;184.12.95.0;
1120;260;260870;184;184.12.96.0;
1120;250;250000;184;184.13.0.0;
1120;250;250100;184;184.13.0.1;
1120;250;250100;184;184.13.1.10;
1120;250;250100;184;184.13.1.20;
1120;250;250740;184;184.13.1.30;
1120;250;250100;184;184.13.1.40;
1120;250;250280;184;184.13.11.0;
1120;250;250280;184;184.13.12.0;
1120;250;250280;184;184.13.13.0;
1120;250;250280;184;184.13.14.0;
1120;250;250000;184;184.13.15.0;
1120;250;250490;184;184.13.19.0;
1120;250;250490;184;184.13.19.50;
1120;250;250750;184;184.13.24.0;
1120;250;250760;184;184.13.25.0;
1120;250;250770;184;184.13.26.0;
1120;250;250770;184;184.13.26.98;
1120;250;250770;184;184.13.26.99;
1120;250;250480;184;184.13.27.0;
1120;250;250450;184;184.13.41.0;
1120;250;250450;184;184.13.41.10;
1120;250;250450;184;184.13.41.20;
1120;250;250450;184;184.13.45.0;
1120;250;250000;184;184.13.46.1;
1120;250;250450;184;184.13.50.0;
1120;250;250450;184;184.13.53.0;
1120;250;250000;184;184.13.59.0;
1120;250;250000;184;184.13.59.1;
1120;210;210000;184;184.15.0.0;
1120;210;210100;184;184.15.0.1;
1120;210;210830;184;184.15.11.0;
1120;210;210815;184;184.15.12.0;
1120;210;210810;184;184.15.13.0;
1120;210;210620;184;184.15.15.0;
1120;210;210630;184;184.15.17.0;
1120;210;210630;184;184.15.17.97;
1120;210;210880;184;184.15.34.0;
1120;210;210210;184;184.15.41.0;
1120;230;230000;184;184.16.0.0;
1120;230;230000;184;184.16.0.99;
1120;230;230100;184;184.16.1.10;
1120;270;270000;184;184.17.0.0;
1120;270;270100;184;184.17.0.1;
1120;270;270100;184;184.17.1.10;
1120;270;270610;184;184.17.32.0;
1120;270;270950;184;184.17.33.0;
1120;270;270630;184;184.17.34.0;
1120;270;270640;184;184.17.35.0;
1120;270;270640;184;184.17.35.15;
1120;270;270640;184;184.17.35.17;
1120;270;270690;184;184.17.42.0;
1120;270;270710;184;184.17.50.0;
1120;270;270720;184;184.17.60.0;
1120;;;184;184.18.0.0;
1120;280;280100;184;184.18.1.0;
1120;280;280210;184;184.18.10.0;
1120;280;280220;184;184.18.20.0;
1120;280;280230;184;184.18.30.0;
1120;280;280240;184;184.18.90.0;
1120;;;184;184.19.0.0;
1120;260;260875;184;184.19.10.0;
1120;290;290250;184;184.19.15.0;
1120;290;290000;184;184.19.81.0;
1120;120;120370;184;184.19.82.0;
1120;120;120380;184;184.19.92.0;
1120;290;290000;184;184.19.94.0;
1120;290;290000;184;184.19.96.0;
1120;290;290000;184;184.19.98.0;
1120;;;184;184.21.0.0;
1120;120;120150;184;184.21.10.0;
1120;120;120100;184;184.21.20.0;
1120;120;120360;184;184.21.50.0;
1120;120;120340;184;184.21.60.0;
1120;120;120215;184;184.21.70.0;
1120;120;120350;184;184.21.80.0;
1120;120;120330;184;184.22.10.0;
1120;120;120250;184;184.23.10.0;
1120;310;310000;184;184.32.0.0;
1120;310;310000;184;184.32.1.0;
1120;310;310000;184;184.32.11.0;
1120;310;310000;184;184.32.12.0;
1120;310;310000;184;184.32.13.0;
1120;310;310000;184;184.32.16.0;
1120;310;310000;184;184.32.17.0;
1120;310;310000;184;184.32.20.0;
1120;310;310000;184;184.32.3.0;
1120;310;310000;184;184.32.4.0;
1120;310;310000;184;184.32.50.0;
1120;;;184;184.34.0.0;
1120;350;350120;184;184.34.10.0;
1120;350;350130;184;184.34.20.0;
1120;350;350140;184;184.34.30.0;
1120;350;350000;184;184.34.30.10;
1120;350;350140;184;184.34.30.20;
1120;350;350150;184;184.34.40.0;
1120;350;350110;184;184.34.40.10;
1120;350;350000;184;184.34.50.0;
1120;380;380000;184;184.35.14.0;
1120;;;184;184.70.0.0;
1120;;;184;184.70.50.0;
1110;;;185;185.0.0.0;
1110;280;280000;185;185.11.0.0;
1110;280;280100;185;185.11.0.10;
1110;280;280820;185;185.11.0.20;
1110;280;280820;185;185.11.0.30;
1110;230;230000;185;185.12.0.0;
1110;230;230100;185;185.12.0.10;
1110;230;230310;185;185.12.1.0;
1110;230;230310;185;185.12.1.10;
1110;230;230220;185;185.12.2.0;
1110;230;230220;185;185.12.2.10;
1110;230;230220;185;185.12.2.20;
1110;230;230330;185;185.12.3.10;
1110;230;230340;185;185.12.4.0;
1110;230;230340;185;185.12.4.10;
1110;230;230210;185;185.12.5.0;
1110;230;230210;185;185.12.5.10;
1110;230;230320;185;185.12.6.0;
1110;230;230350;185;185.12.7.0;
1110;250;250000;185;185.13.0.0;
1110;250;250100;185;185.13.0.10;
1110;250;250100;185;185.13.0.60;
1110;250;250280;185;185.13.10.0;
1110;250;250280;185;185.13.10.20;
1110;250;250280;185;185.13.10.30;
1110;250;250280;185;185.13.10.4;
1110;250;250280;185;185.13.10.40;
1110;250;250280;185;185.13.10.50;
1110;250;250280;185;185.13.10.60;
1110;250;250280;185;185.13.10.7;
1110;250;250280;185;185.13.10.70;
1110;250;250280;185;185.13.10.8;
1110;250;250280;185;185.13.10.80;
1110;250;250210;185;185.13.11.0;
1110;250;250210;185;185.13.11.10;
1110;250;250210;185;185.13.11.20;
1110;250;250210;185;185.13.11.21;
1110;250;250210;185;185.13.11.22;
1110;250;250210;185;185.13.11.23;
1110;250;250210;185;185.13.11.30;
1110;250;250210;185;185.13.11.40;
1110;250;250210;185;185.13.11.50;
1110;250;250210;185;185.13.11.60;
1110;250;250210;185;185.13.11.70;
1110;250;250810;185;185.13.12.0;
1110;250;250810;185;185.13.12.10;
1110;250;250810;185;185.13.12.20;
1110;250;250310;185;185.13.13.0;
1110;250;250340;185;185.13.14.0;
1110;250;250340;185;185.13.14.1;
1110;250;250340;185;185.13.14.10;
1110;250;250340;185;185.13.14.11;
1110;250;250340;185;185.13.14.14;
1110;250;250340;185;185.13.14.15;
1110;250;250340;185;185.13.14.16;
1110;250;250340;185;185.13.14.17;
1110;250;250340;185;185.13.14.18;
1110;250;250340;185;185.13.14.19;
1110;250;250340;185;185.13.14.2;
1110;250;250340;185;185.13.14.20;
